pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
1.91,1.272,catalog,0.18,421.8069811790881,5.3,536.5492263232119,0.027,catalog,3989847004.0449963,97985942.64549977,Selsis,-0.30230562461337346,-0.6766058092240513,linear,0.055103482899699914,0.47211619347817013,9.159582818986399e+22,1.2212777091981865e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,308.16501764825114,0.027,catalog,6006872722.840376,3079916.1685281163,Selsis,-0.49946336410566355,-0.7969303417777484,log,0.1726175101772283,0.7632985181236548,1.6398480045560516e+23,2.1864640060747352e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,659.8908257023882,0.027,catalog,3441302237.943985,68361421.04287703,Selsis,-0.2811331632316777,-0.6302219398963282,linear,0.11602108841321387,0.9192289439079616,2.276976663194607e+23,3.035968884259476e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,146.8273688291677,0.027,catalog,6697568460.657546,77155144.5202235,Jackson,-0.40414451306026206,-0.7577621125126273,linear,0.054493018137823666,0.7054684866680532,4.626021157207751e+22,6.168028209610334e+22
1.91,1.272,catalog,0.18,421.8069811790881,5.3,243.9007017694627,0.027,catalog,7184350695.851765,16986047.686678696,Selsis,-0.49351680541213105,-0.7554793431610969,GP,0.3653622769258232,0.5586859268890657,3.6022397102931204e+23,4.802986280390827e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,267.75941819562837,0.027,catalog,6686250167.967995,53424459.26832053,Selsis,-0.3576994434719904,-0.662206573833855,GP,0.06277547196672835,0.11807264208493418,9.338941387010765e+22,1.2451921849347687e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,312.62553677467605,0.027,catalog,3307293535.0993514,33355379.20993864,Jackson,-0.4779532279127764,-0.6918111296332822,linear,0.43602480522839804,0.21023067506757687,3.136921317188154e+23,4.1825617562508724e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,883.378011798141,0.027,catalog,2803146140.3000455,21973172.431894716,Selsis,-0.4368816483768851,-0.6673927354678619,log,0.23897315031990368,0.753610376536496,1.947457213070847e+23,2.5966096174277958e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,265.50409209301586,0.027,catalog,3836374628.3627915,38366306.6925768,Jackson,-0.4284674985021429,-0.7687970982594364,GP,0.19714837659459214,0.6054042870767947,1.4836918895577913e+23,1.9782558527437217e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,903.6386350104648,0.027,catalog,2759202493.518655,15664445.475475939,Selsis,-0.30443330813322717,-0.7289657045452085,linear,0.208974015060997,0.014566358907099897,2.9494383741998945e+23,3.9325844989331926e+23
1.91,1.272,catalog,0.18,421.8069811790881,5.3,510.366073255418,0.027,catalog,2142973190.9283314,77466794.13221137,Jackson,-0.3503077697947715,-0.7337249877777435,log,0.32176893425514314,0.6273628892221667,2.566628920314152e+23,3.422171893752202e+23
