,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,dt_obj,pl_Teq,pl_rprs2,scale,TSM,efficiency,efficiency_kmag,ed_ESM,ESM
0,55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,1,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,0.73654625,1.5e-07,-1.5e-07,0.0,0.01583,0.00024,-0.00024,0.0,1.897,0.044,-0.046,0.0,0.169,0.004,-0.004,0.0,9.37594,0.44496,-0.44496,0.0,0.0295,0.0014,-0.0014,0.0,Msini,0.036,0.034,-0.025,0.0,2596.5410277835267,,,,1958.0,15.0,-15.0,0.0,83.6,0.6,-0.6,0.0,0,1.584,0.084,-0.0672,0.0,3.47,0.07,-0.07,0.0,0.018501579153401292,0.0004,-0.0004,0.0,0.0154,0.0023,-0.0023,0.0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,G8 V,5234.0,30.0,-30.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.31,0.04,-0.04,0.0,[Fe/H],4.45,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2024-03-04,2023-03,2024-03-04,2023-03-01,1958.0,0.0003423084311695733,1.26,226.21150991222763,0.3,0.3,105.4710752989238,71.2181463782356
1,AU Mic b,AU Mic,1,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,8.46308,6e-05,-6e-05,0.0,0.0649,0.0012,-0.0012,0.0,3.957,0.146,-0.146,0.0,0.353,0.013,-0.013,0.0,10.2,3.9,-2.7,0.0,0.03209,0.01227,-0.0085,0.0,Mass,0.00577,0.00101,-0.00101,0.0,21.2,2.5,-2.4,0.0,600.0,17.0,-16.0,0.0,89.579,0.376,-0.376,0.0,1,3.4927,0.0074,-0.0067,0.0,18.79,0.5,-0.59,0.0,0.049023425171614045,0.001,-0.001,0.0,,,,,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,M1,3678.0,90.0,-88.0,0.0,0.74,0.02,-0.02,0.0,0.51,0.03,-0.03,0.0,0.23,0.24,-0.3,0.0,[Fe/H],4.4,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2024-09-28,2023-12,2024-09-28,2023-12-01,596.5251534871193,0.0024032962155568416,1.28,692.9043221800229,0.11384450294208731,0.3,93.45604697037254,49.80405446105342
2,AU Mic c,AU Mic,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,8e-05,-8e-05,0.0,0.1108,0.002,-0.002,0.0,2.522,0.247,-0.247,0.0,0.225,0.022,-0.022,0.0,14.2,4.8,-3.5,0.0,0.04468,0.0151,-0.01101,0.0,Mass,0.00338,0.00164,-0.00164,0.0,7.3,0.9,-0.8,0.0,459.0,13.0,-12.0,0.0,89.227,0.217,-0.217,0.0,0,4.236,0.029,-0.029,0.0,32.05,0.86,-1.0,0.0,0.031245154986810873,0.0028,-0.0028,0.0,,,,,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,,3678.0,90.0,-88.0,0.0,0.74,0.02,-0.02,0.0,0.51,0.03,-0.03,0.0,0.23,0.24,-0.3,0.0,[Fe/H],4.4,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,8.81,0.1,-0.1,5.436,0.017,-0.017,4.831,0.016,-0.016,4.529,0.02,-0.02,7.84038,0.000731,-0.000731,2024-09-28,2023-12,2024-09-28,2023-12-01,456.95718560027893,0.0009762597101498324,1.26,97.16939952302486,0.11384450294208731,0.3,15.039742051472833,8.014892096272904
3,BD+20 594 b,BD+20 594,0,1,1,Transit,2016,K2,1,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,0.003353,-0.003419,0.0,0.241,0.019,-0.017,0.0,2.355,0.31,-0.167,0.0,0.21,0.028,-0.015,0.0,16.3,6.0,-6.1,0.0,0.05129,0.01888,-0.01919,0.0,Mass,0.0,,,0.0,14.717168318899793,,,,546.0,19.0,-18.0,0.0,89.526,0.329,-0.535,0.0,0,,,,,54.721028,5.823183,-12.995528,0.0,0.022489976372718126,0.00185,-0.00094,0.0,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,G,5703.0,50.0,-50.0,0.0,0.96,0.1,-0.05,0.0,0.96,0.03,-0.03,0.0,-0.06,0.08,-0.08,0.0,[Fe/H],4.38,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,10.8644,0.000249,-0.000249,2018-04-25,2018-03,2018-02-15,2018-03-01,546.0,0.0005057990372454196,1.26,6.649755107925732,1.0,1.0,8.647779540472758,0.49632014351960096
4,BD-14 3065 b,BD-14 3065 A,1,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),1,Published Confirmed,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0.0,0.0656,0.0026,-0.0026,0.0,21.59,1.05,-1.05,0.0,1.926,0.094,-0.094,0.0,3932.0,290.0,-280.0,0.0,12.37,0.92,-0.87,0.0,Mass,0.066,0.0098,-0.011,0.0,2667.8179065973527,,,,2001.0,31.0,-31.0,0.0,80.78,0.24,-0.3,0.0,0,3.086,0.041,-0.041,0.0,6.01,0.12,-0.13,0.0,0.08422753693662284,0.0023,-0.0022,0.0,0.0482,0.0091,-0.011,0.0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,,6935.0,90.0,-90.0,0.0,2.35,0.08,-0.08,0.0,1.41,0.05,-0.05,0.0,-0.34,0.05,-0.05,0.0,[Fe/H],3.85,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.423,16.599,-15.729,11.1,0.013,-0.013,10.143,0.026,-0.026,9.975,0.026,-0.026,9.932,0.026,-0.026,10.91,0.001617,-0.001617,2024-06-25,2024-03,2024-06-25,2024-03-01,2001.0,0.007094277978410165,1.15,9.985127673463046,1.0,1.0,1625.6935886442272,71.96080038788146
5,CoRoT-1 b,CoRoT-1,0,1,1,Transit,2008,CoRoT,1,Published Confirmed,0,<a refstr=IVSHINA__AMP__WINN_2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..259...62I/abstract target=ref>Ivshina &amp; Winn 2022</a>,1.50896877,8e-08,-8e-08,0.0,0.02752,0.00022,-0.00023,0.0,19.223,0.336,-0.336,0.0,1.715,0.03,-0.03,0.0,390.9309,31.783,-31.783,0.0,1.23,0.1,-0.1,0.0,Mass,0.036,0.62,-0.48,1.0,2816.6526842464555,,,,1834.0,46.0,-46.0,0.0,85.1,0.5,-0.5,0.0,0,,,,,4.8239,0.047,-0.0461,0.0,0.14327993481444085,0.0007,-0.0015,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G0 V,6298.0,66.0,-66.0,0.0,1.23,0.02,-0.02,0.0,1.22,0.03,-0.03,0.0,0.06,0.07,-0.07,0.0,[Fe/H],4.25,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.909,23.491,-23.491,13.623,0.114,-0.114,12.462,0.029,-0.029,12.218,0.026,-0.026,12.149,0.027,-0.027,13.457,0.000477,-0.000477,2022-10-18,2022-04,2022-10-18,2022-04-01,1834.0,0.02052913972043042,1.15,81.51742401013092,1.0,1.0,4603.114837119724,73.40220424898125
6,CoRoT-10 b,CoRoT-10,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,13.2406,0.0002,-0.0002,0.0,0.1055,0.0019,-0.002,0.0,10.873,0.785,-0.785,0.0,0.97,0.07,-0.07,0.0,867.6759,44.4962,-44.4962,0.0,2.73,0.14,-0.14,0.0,Mass,0.524,0.018,-0.018,0.0,29.36934826166583,,,,647.0,24.0,-24.0,0.0,88.55,0.2,-0.2,0.0,0,2.98,0.06,-0.06,0.0,30.675,2.328,-2.022,0.0,0.12618031797497464,0.0038,-0.0038,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,K1 V,5075.0,75.0,-75.0,0.0,0.79,0.05,-0.05,0.0,0.89,0.05,-0.05,0.0,0.26,0.07,-0.07,0.0,[Fe/H],4.65,0.06,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.386,3.9865,-3.9865,15.293,0.137,-0.137,12.527,0.025,-0.025,11.929,0.028,-0.028,11.782,0.021,-0.021,14.6645,0.000329,-0.000329,2019-03-18,2017-06,2019-03-21,2017-06-01,647.0,0.01592147264426571,1.15,5.51618175634972,1.0,1.0,529.5057722291867,9.99834206824655
7,CoRoT-11 b,CoRoT-11,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,2.99427803,4.9e-07,-4.9e-07,0.0,0.04407,0.00056,-0.00059,0.0,16.029,0.336,-0.336,0.0,1.43,0.03,-0.03,0.0,832.7146,187.5197,-197.0546,0.0,2.62,0.59,-0.62,0.0,Mass,0.36,,,1.0,1509.4693228939443,,,,1715.0,36.0,-36.0,0.0,83.17,0.15,-0.15,0.0,0,1.9176,0.024,-0.0288,0.0,6.89,0.08,-0.08,0.0,0.10726429495472185,0.0005,-0.0005,0.0,,,,,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,120.0,-120.0,0.0,1.37,0.03,-0.03,0.0,1.27,0.05,-0.05,0.0,-0.03,0.08,-0.08,0.0,[Fe/H],4.22,0.23,-0.23,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.037,24.947,-23.209,12.897,0.114,-0.114,11.589,0.021,-0.021,11.416,0.029,-0.029,11.248,0.022,-0.022,12.841,0.000336,-0.000336,2024-03-04,2023-03,2024-03-04,2023-03-01,1715.0,0.011505628972133568,1.15,25.000226186102434,1.0,1.0,2262.5662934011157,54.63344733980276
8,CoRoT-12 b,CoRoT-12,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,2.828041,1.1e-05,-1.1e-05,0.0,0.0392,0.0013,-0.0013,0.0,15.065,0.829,-0.796,0.0,1.344,0.074,-0.071,0.0,277.46559,25.74423,-24.79074,0.0,0.873,0.081,-0.078,0.0,Mass,0.05,0.063,-0.042,1.0,680.2461402963188,,,,1417.0,20.0,-20.0,0.0,85.71,0.39,-0.36,0.0,0,2.57424,0.02136,-0.0216,0.0,7.97,0.95,-1.74,0.0,0.12331628537033613,0.0173,-0.0098,0.0,,,,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,,5675.0,80.0,-80.0,0.0,1.12,0.1,-0.09,0.0,1.08,0.08,-0.07,0.0,0.16,0.1,-0.1,0.0,[Fe/H],4.38,0.07,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.37,55.745,-55.745,15.588,0.183,-0.183,14.024,0.032,-0.032,13.63,0.031,-0.031,13.557,0.042,-0.042,15.3453,0.00077,-0.00077,2022-05-03,2022-05,2022-05-03,2022-05-01,1417.0,0.015206906237538178,1.15,25.091690482969963,1.0,1.0,2523.3724670737533,21.03965684707521
9,CoRoT-13 b,CoRoT-13,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,4.03515,2.6e-05,-2.5e-05,0.0,0.05107,0.0003,-0.00031,0.0,9.92,0.157,-0.157,0.0,0.885,0.014,-0.014,0.0,423.03173,23.20159,-23.20159,0.0,1.331,0.073,-0.073,0.0,Mass,0.067,,,1.0,449.47149946824817,,,,1432.0,39.0,-39.0,0.0,88.02,0.34,-0.36,0.0,0,3.14,0.01,-0.01,0.0,10.76,1.25,-2.13,0.0,0.09004500346541769,0.0071,-0.0068,0.0,,,,,<a refstr=CABRERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...522A.110C/abstract target=ref> Cabrera et al. 2010 </a>,G0 V,5945.0,90.0,-90.0,0.0,1.01,0.03,-0.03,0.0,1.09,0.02,-0.02,0.0,0.01,0.07,-0.07,0.0,[Fe/H],4.46,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.93,62.12,-56.15,15.005,0.297,-0.297,13.71,0.024,-0.024,13.406,0.029,-0.029,13.376,0.039,-0.039,14.9147,0.0005,-0.0005,2022-05-03,2022-05,2022-05-03,2022-05-01,1432.0,0.008108102649087083,1.15,6.747768644420142,1.0,1.0,1297.4386462306513,11.758288779580914
10,CoRoT-14 b,CoRoT-14,0,1,1,Transit,2010,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.51214,0.00013,-0.00013,0.0,0.02691,0.0007,-0.00073,0.0,12.218,0.785,-0.785,0.0,1.09,0.07,-0.07,0.0,2358.2986,149.3801,-149.3801,0.0,7.42,0.47,-0.47,0.0,Mass,0.036,,,1.0,2353.24679624897,,,,1936.0,95.0,-95.0,0.0,79.6,0.8,-0.8,0.0,0,1.662,0.044,-0.044,0.0,4.854,0.493,-0.41,0.0,0.09257294312049105,0.0019,-0.0019,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,F9 V,6040.0,100.0,-100.0,0.0,1.21,0.08,-0.08,0.0,1.13,0.09,-0.09,0.0,0.05,0.15,-0.15,0.0,[Fe/H],4.34,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6,173.03,-144.9,15.932,0.206,-0.206,14.321,0.036,-0.036,14.007,0.047,-0.047,13.806,0.053,-0.053,15.8116,0.000769,-0.000769,2019-03-18,2017-06,2019-03-21,2017-06-01,1936.0,0.008569749797989672,1.15,1.6078073952412826,1.0,1.0,2191.9303155408097,16.29611329747625
11,CoRoT-16 b,CoRoT-16,0,1,1,Transit,2011,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5.35227,0.0002,-0.0002,0.0,0.0618,0.0015,-0.0015,0.0,13.115,1.569,-1.793,0.0,1.17,0.14,-0.16,0.0,168.13207,31.14734,-30.51168,0.0,0.529,0.098,-0.096,0.0,Mass,0.37,0.11,-0.12,0.0,338.4363569864079,,,,,,,,85.01,0.94,-1.2,0.0,0,2.39,0.09,-0.09,0.0,11.2,1.21,-1.09,0.0,0.10103937573304442,0.0046,-0.0046,0.0,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G5 V,5650.0,100.0,-100.0,0.0,1.19,0.14,-0.13,0.0,1.1,0.08,-0.08,0.0,0.19,0.06,-0.06,0.0,[M/H],4.36,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.409,35.344,-32.282,16.052,0.217,-0.217,13.496,0.029,-0.029,12.98,0.03,-0.03,12.847,0.037,-0.037,15.6507,0.000998,-0.000998,2019-03-18,2017-06,2019-03-21,2017-06-01,1193.7803848040296,0.010208955448523325,1.15,26.000558752431605,1.0,1.0,1247.0443169882205,14.419134062846796
12,CoRoT-17 b,CoRoT-17,0,1,1,Transit,2011,CoRoT,1,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.7681,0.0003,-0.0003,0.0,0.0481,0.0015,-0.0016,0.0,11.433,0.785,-0.785,0.0,1.02,0.07,-0.07,0.0,765.9703,85.8141,-82.6358,0.0,2.41,0.27,-0.26,0.0,Mass,0.081,,,1.0,1114.8702778386469,,,,1610.0,210.0,-70.0,0.0,88.3,1.5,-1.5,0.0,0,4.72001,0.0,0.0,0.0,6.369,0.527,-1.369,0.0,0.06592230738146186,,,,,,,,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,G2 V,5740.0,80.0,-80.0,0.0,1.59,0.07,-0.07,0.0,1.04,0.1,-0.1,0.0,0.0,0.1,-0.1,0.0,[Fe/H],4.04,0.07,-0.21,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,1176.12,57.17,-52.19,16.29,0.32,-0.32,13.174,0.038,-0.038,12.615,0.063,-0.063,12.472,0.054,-0.054,15.4368,0.000524,-0.000524,2019-03-18,2017-06,2019-03-21,2017-06-01,1610.0,0.004345750610495941,1.15,3.312822352053806,1.0,1.0,882.507719667826,12.127626273478828
13,CoRoT-18 b,CoRoT-18,0,1,1,Transit,2011,CoRoT,1,Published Confirmed,0,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,1.9000769,2.1e-06,-2.2e-06,0.0,0.0288,0.0008,-0.0008,0.0,12.846,0.437,-0.538,0.0,1.146,0.039,-0.048,0.0,1048.839,60.3877,-60.3877,0.0,3.3,0.19,-0.19,0.0,Mass,0.025,,,1.0,711.686650806654,,,,1487.0,19.0,-19.0,0.0,89.9,1.6,-1.6,0.0,0,2.387,0.038,-0.038,0.0,7.16,0.2,-0.28,0.0,0.11777069512721001,0.0042,-0.0046,0.0,,,,,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,G9 V,5440.0,100.0,-100.0,0.0,1.0,0.13,-0.13,0.0,0.95,0.15,-0.15,0.0,-0.1,0.1,-0.1,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.889,27.614,-25.784,14.868,0.172,-0.172,13.441,0.024,-0.024,13.081,0.031,-0.031,13.014,0.03,-0.03,14.8009,0.001211,-0.001211,2022-05-03,2022-05,2022-05-03,2022-05-01,1487.0,0.013869936630746248,1.15,7.086042195834316,1.0,1.0,2628.5622546627606,28.14333494716914
14,CoRoT-19 b,CoRoT-19,0,1,1,Transit,2011,CoRoT,1,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.8971379,1.6e-06,-1.6e-06,0.0,0.05166,0.00069,-0.0007,0.0,14.46,0.336,-0.336,0.0,1.29,0.03,-0.03,0.0,367.09365,22.88376,-22.88376,0.0,1.155,0.072,-0.072,0.0,Mass,0.056,0.045,-0.045,1.0,1276.5529416946447,,,,1630.0,150.0,-40.0,0.0,88.0,0.7,-0.7,0.0,0,4.7,0.1,-0.1,0.0,6.7,0.1,-0.1,0.0,0.08034404066538609,0.0004,-0.0004,0.0,,,,,<a refstr=GUENTHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G/abstract target=ref> Guenther et al. 2012 </a>,F9 V,6090.0,70.0,-70.0,0.0,1.65,0.04,-0.04,0.0,1.21,0.05,-0.05,0.0,-0.02,0.1,-0.1,0.0,[Fe/H],4.07,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.663,26.737,-25.071,14.135,0.149,-0.149,12.324,0.024,-0.024,11.961,0.022,-0.022,11.837,0.024,-0.024,13.7831,0.000558,-0.000558,2024-03-04,2023-03,2024-03-04,2023-03-01,1630.0,0.006455164870441213,1.15,19.446684264848294,1.0,1.0,1248.0025523013014,22.975912345819935
